time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.468770,-0.0141,-0.0065,0.0258,0.030
2.490686,-0.0188,0.0032,0.0306,0.036
2.508452,-0.0142,-0.0112,0.0402,0.044
2.530065,-0.0238,0.0030,0.0593,0.064
2.548070,-0.0191,-0.0066,0.0401,0.045
2.568698,-0.0142,-0.0066,0.0258,0.030
2.588360,-0.0189,0.0126,0.0449,0.050
2.609548,-0.0238,0.0080,0.0497,0.056
2.628043,-0.0239,0.0031,0.0354,0.043
2.649041,-0.0287,-0.0064,0.0306,0.042
2.666880,-0.0190,-0.0114,0.0402,0.046
2.688588,-0.0043,0.0076,0.0354,0.036
2.707629,-0.0233,0.0029,0.0306,0.039
2.728356,-0.0183,-0.0018,0.0497,0.053
2.746691,-0.0325,0.0031,0.0449,0.056
2.767128,-0.0130,-0.0161,0.0497,0.054
2.786197,-0.0225,-0.0112,0.0354,0.043
2.807133,-0.0369,0.0031,0.0497,0.062
2.826099,-0.0222,0.0078,0.0449,0.051
2.847282,-0.0224,-0.0019,0.0210,0.031
2.866520,-0.0224,-0.0017,0.0306,0.038
2.884943,-0.0080,0.0032,0.0449,0.046
2.904819,-0.0129,0.0079,0.0449,0.047
2.927989,0.0110,-0.0113,0.0354,0.039
2.947316,0.0063,0.0079,0.0210,0.023
2.967794,-0.0225,0.0031,0.0258,0.034
2.987823,-0.0082,-0.0066,0.0497,0.051
3.004461,-0.0129,-0.0018,0.0354,0.038
3.024579,-0.0176,-0.0113,0.0306,0.037
3.044358,-0.0221,-0.0019,0.0449,0.050
3.064683,-0.0269,0.0028,0.0306,0.041
3.084615,-0.0173,0.0027,0.0401,0.044
3.103762,-0.0080,0.0027,0.0545,0.055
3.125182,-0.0125,-0.0019,0.0497,0.051
3.143520,-0.0315,-0.0067,0.0306,0.044
3.164605,-0.0220,-0.0066,0.0497,0.055
3.183383,-0.0124,-0.0118,0.0401,0.044
3.203887,0.0063,-0.0118,0.0258,0.029
3.222306,-0.0082,-0.0071,0.0353,0.037
3.241969,-0.0320,-0.0071,0.0353,0.048
3.261874,-0.0176,0.0074,0.0258,0.032
3.281640,-0.0177,0.0073,0.0306,0.036
3.301991,-0.0176,0.0026,0.0306,0.035
3.321792,-0.0077,-0.0020,0.0162,0.018
3.341852,-0.0077,0.0122,0.0449,0.047
3.361449,-0.0174,-0.0071,0.0401,0.044
3.380520,-0.0223,-0.0070,0.0258,0.035
3.400690,-0.0079,-0.0211,0.0306,0.038
3.420790,-0.0128,-0.0067,0.0306,0.034
3.440165,-0.0126,-0.0066,0.0401,0.043
3.459778,-0.0222,-0.0110,0.0354,0.043
3.479497,-0.0268,-0.0112,0.0545,0.062
3.499642,-0.0172,-0.0158,0.0497,0.055
3.522498,-0.0224,0.0130,0.0354,0.044
3.540017,-0.0227,-0.0158,0.0449,0.053
3.558898,-0.0369,0.0035,0.0306,0.048
3.579021,-0.0465,0.0081,0.0354,0.059
3.599629,-0.0369,0.0033,0.0401,0.055
3.621037,-0.0225,-0.0112,0.0306,0.040
3.638275,-0.0126,0.0080,0.0449,0.047
3.658470,-0.0266,-0.0111,0.0114,0.031
3.678381,-0.0075,-0.0113,0.0353,0.038
3.700632,-0.0073,-0.0066,0.0401,0.041
3.717754,-0.0071,-0.0019,0.0353,0.036
3.739737,-0.0214,0.0030,0.0401,0.046
3.757868,-0.0262,-0.0016,0.0449,0.052
3.777401,-0.0166,0.0130,0.0449,0.050
3.797364,-0.0163,0.0080,0.0210,0.028
3.818990,-0.0212,-0.0063,0.0258,0.034
3.836485,-0.0067,-0.0016,0.0449,0.045
3.858709,-0.0211,0.0032,0.0353,0.041
3.878221,-0.0067,0.0032,0.0449,0.046
3.896013,-0.0115,0.0080,0.0306,0.034
3.915935,-0.0116,0.0032,0.0449,0.047
3.937965,-0.0067,-0.0061,0.0497,0.051
3.955707,-0.0068,-0.0106,0.0401,0.042
3.975610,-0.0257,0.0183,0.0162,0.035
3.995790,-0.0210,0.0040,0.0354,0.041
4.015484,-0.0258,-0.0193,0.0354,0.048
4.035178,-0.0168,0.0041,0.0449,0.048
4.057113,-0.0070,-0.0009,0.0497,0.050
4.074661,-0.0163,-0.0056,0.0545,0.057
4.094706,-0.0211,0.0087,0.0401,0.046
4.117829,-0.0113,-0.0107,0.0593,0.061
4.136218,-0.0017,0.0086,0.0593,0.060
4.155141,-0.0110,-0.0057,0.0306,0.033
4.175131,-0.0158,-0.0008,0.0353,0.039
4.193421,-0.0158,-0.0104,0.0401,0.044
4.214297,-0.0159,0.0089,0.0449,0.048
4.234407,-0.0158,0.0043,0.0545,0.057
4.257685,-0.0107,-0.0005,0.0593,0.060
4.275002,-0.0201,-0.0053,0.0593,0.063
4.295839,-0.0251,-0.0006,0.0258,0.036
4.314619,-0.0108,-0.0055,0.0353,0.037
4.333250,-0.0203,-0.0008,0.0449,0.049
4.354337,-0.0154,0.0039,0.0258,0.030
4.372923,-0.0298,-0.0011,0.0024,0.030
4.394419,0.0037,-0.0057,0.0258,0.027
4.412195,-0.0157,-0.0195,0.0353,0.043
4.432381,-0.0060,-0.0196,0.0401,0.045
4.455717,-0.0110,0.0037,0.0306,0.033
4.470940,-0.0158,0.0035,0.0114,0.020
4.497124,-0.0254,0.0035,0.0210,0.033
4.510117,-0.0194,-0.0014,0.0305,0.036
