time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
10.634021,-0.0234,-0.0033,0.0449,0.051
10.655400,-0.0092,-0.0031,0.0401,0.041
10.672881,-0.0232,-0.0033,0.0449,0.051
10.695548,-0.0181,0.0016,0.0401,0.044
10.712727,-0.0133,0.0015,0.0258,0.029
10.733544,-0.0132,0.0014,0.0353,0.038
10.752248,-0.0081,-0.0035,0.0497,0.050
10.773343,-0.0224,0.0060,0.0545,0.059
10.791538,-0.0177,0.0060,0.0449,0.049
10.812932,-0.0225,0.0011,0.0258,0.034
10.831014,-0.0129,-0.0035,0.0210,0.025
10.859687,-0.0036,-0.0130,0.0305,0.033
10.870043,-0.0179,-0.0035,0.0305,0.036
10.890393,-0.0177,-0.0036,0.0353,0.040
10.909973,-0.0224,-0.0036,0.0497,0.055
10.932113,-0.0129,0.0014,0.0449,0.047
10.949089,-0.0131,-0.0179,0.0449,0.050
10.971719,-0.0275,-0.0038,0.0497,0.057
10.989693,-0.0179,0.0009,0.0401,0.044
11.010485,-0.0036,0.0009,0.0353,0.036
11.029544,-0.0227,0.0056,0.0305,0.038
11.053490,-0.0090,0.0056,0.0449,0.046
11.068554,-0.0282,0.0057,0.0401,0.049
11.090247,-0.0089,0.0154,0.0401,0.044
11.110532,-0.0087,0.0009,0.0401,0.041
11.134418,0.0057,0.0010,0.0401,0.041
11.148148,-0.0132,0.0152,0.0305,0.037
11.169683,-0.0178,0.0103,0.0401,0.045
11.187298,-0.0177,0.0005,0.0641,0.066
11.208275,-0.0127,0.0051,0.0545,0.056
11.227097,-0.0174,0.0003,0.0449,0.048
11.248734,-0.0172,-0.0047,0.0257,0.031
11.266744,-0.0075,-0.0046,0.0353,0.036
11.288360,-0.0219,-0.0047,0.0449,0.050
11.306271,-0.0027,0.0098,0.0449,0.046
11.331105,-0.0074,0.0051,0.0497,0.050
11.346921,-0.0025,0.0003,0.0209,0.021
11.366608,-0.0120,0.0098,0.0449,0.048
11.385893,-0.0312,0.0097,0.0497,0.059
11.405313,-0.0264,0.0099,0.0305,0.042
11.427269,-0.0074,0.0003,0.0209,0.022
11.444749,0.0023,0.0004,0.0401,0.040
11.468429,-0.0070,-0.0137,0.0497,0.052
11.487385,-0.0020,0.0151,0.0545,0.057
11.505101,-0.0094,0.0096,0.0545,0.056
11.526437,-0.0188,-0.0136,0.0449,0.051
11.549270,-0.0091,0.0048,0.0305,0.032
11.566023,-0.0230,-0.0042,0.0449,0.051
11.586201,-0.0134,-0.0044,0.0305,0.034
11.606518,-0.0087,0.0143,0.0401,0.043
11.625431,-0.0134,-0.0041,0.0449,0.047
11.645301,-0.0081,-0.0135,0.0257,0.030
11.664301,-0.0223,0.0144,0.0401,0.048
11.685504,0.0066,0.0096,0.0305,0.033
11.705924,0.0110,-0.0136,0.0305,0.035
11.726909,-0.0129,-0.0045,0.0401,0.042
11.745511,-0.0080,-0.0135,0.0353,0.039
11.762678,-0.0078,0.0098,0.0209,0.024
11.782503,0.0018,0.0147,0.0401,0.043
11.802345,-0.0224,0.0002,0.0545,0.059
11.822082,-0.0173,0.0144,0.0497,0.055
11.842275,-0.0125,0.0097,0.0449,0.048
11.862219,0.0020,-0.0093,0.0353,0.037
11.881607,-0.0028,-0.0044,0.0497,0.050
11.901912,-0.0072,0.0053,0.0449,0.046
11.921706,-0.0024,-0.0090,0.0353,0.037
11.941079,-0.0164,-0.0044,0.0305,0.035
11.964260,-0.0068,0.0004,0.0449,0.045
11.990095,-0.0212,-0.0043,0.0305,0.037
12.000081,-0.0021,-0.0139,0.0353,0.038
12.021090,-0.0017,-0.0092,0.0401,0.041
12.040033,-0.0160,0.0102,0.0353,0.040
12.059849,-0.0065,0.0007,0.0449,0.045
12.079261,-0.0112,-0.0179,0.0305,0.037
12.099403,-0.0017,-0.0042,0.0353,0.036
12.119719,-0.0015,-0.0090,0.0545,0.055
12.139404,-0.0110,0.0100,0.0401,0.043
12.158865,-0.0012,0.0005,0.0497,0.050
12.179742,-0.0058,-0.0091,0.0497,0.051
12.198391,0.0038,0.0003,0.0497,0.050
12.218824,0.0131,0.0002,0.0353,0.038
12.238993,-0.0061,0.0147,0.0353,0.039
12.257676,-0.0009,0.0099,0.0593,0.060
12.278733,-0.0105,0.0003,0.0545,0.055
12.297107,0.0084,-0.0091,0.0305,0.033
12.318588,0.0037,-0.0044,0.0161,0.017
12.337745,-0.0104,-0.0094,0.0449,0.047
12.356621,-0.0008,-0.0143,0.0545,0.056
12.379144,-0.0052,-0.0046,0.0209,0.022
12.397344,-0.0004,0.0001,0.0401,0.040
12.418100,-0.0098,-0.0193,0.0592,0.063
12.436336,-0.0050,-0.0049,0.0353,0.036
12.456426,0.0001,0.0142,0.0257,0.029
12.476647,-0.0142,-0.0003,0.0353,0.038
12.495850,-0.0189,-0.0098,0.0353,0.041
12.515714,-0.0095,-0.0092,0.0257,0.029
12.535617,0.0097,-0.0092,0.0449,0.047
12.555244,-0.0051,0.0053,0.0497,0.050
12.575376,-0.0052,-0.0092,0.0592,0.060
12.595377,-0.0099,-0.0044,0.0257,0.028
12.615527,-0.0148,0.0004,0.0305,0.034
12.634515,-0.0053,0.0197,0.0401,0.045
12.653977,-0.0053,0.0054,0.0305,0.031
12.675888,-0.0106,-0.0041,0.0066,0.013
12.694201,-0.0154,0.0006,0.0401,0.043
12.715231,-0.0057,0.0103,0.0305,0.033
12.733965,-0.0103,-0.0136,0.0353,0.039
12.755220,-0.0058,-0.0086,0.0209,0.023
12.775108,-0.0103,0.0060,0.0353,0.037
12.796153,-0.0055,-0.0037,0.0449,0.045
12.814645,0.0041,-0.0278,0.0497,0.057
12.833641,-0.0105,-0.0181,0.0305,0.037
12.853924,-0.0201,-0.0181,0.0305,0.041
12.873385,-0.0203,-0.0038,0.0209,0.029
12.893600,-0.0067,0.0009,0.0209,0.022
12.914252,-0.0161,0.0059,0.0305,0.035
12.933569,-0.0160,-0.0132,0.0305,0.037
12.952842,-0.0257,-0.0035,0.0257,0.037
12.973652,0.0027,0.0205,0.0353,0.041
12.992162,-0.0021,0.0061,0.0257,0.027
13.014411,0.0025,0.0059,0.0353,0.036
13.030576,-0.0166,0.0106,0.0497,0.053
13.053997,-0.0120,0.0010,0.0401,0.042
13.070366,-0.0167,-0.0132,0.0209,0.030
13.095853,-0.0121,0.0061,0.0257,0.029
13.110584,-0.0026,-0.0035,0.0401,0.040
13.135973,-0.0122,-0.0083,0.0545,0.056
13.155236,-0.0219,-0.0082,0.0449,0.051
13.172463,-0.0074,0.0059,0.0545,0.055
13.188848,-0.0076,0.0010,0.0305,0.031
13.212589,-0.0024,-0.0041,0.0401,0.040
13.229412,-0.0171,-0.0043,0.0449,0.048
13.253668,-0.0267,0.0006,0.0353,0.044
13.268541,-0.0126,-0.0091,0.0353,0.039
13.293847,0.0014,0.0004,0.0353,0.035
13.308715,-0.0129,0.0052,0.0545,0.056
13.330436,-0.0131,-0.0091,0.0593,0.061
13.347713,-0.0223,0.0006,0.0497,0.054
13.373227,-0.0171,0.0100,0.0305,0.036
13.387640,-0.0074,0.0053,0.0640,0.065
13.407998,-0.0120,-0.0041,0.0640,0.065
13.427712,-0.0072,-0.0090,0.0592,0.060
13.449552,0.0023,0.0005,0.0353,0.035
13.467599,-0.0121,-0.0181,0.0257,0.034
13.489713,-0.0025,0.0005,0.0401,0.040
13.507977,-0.0099,0.0102,0.0497,0.052
13.529216,-0.0003,0.0056,0.0401,0.040
13.548540,-0.0048,0.0007,0.0257,0.026
13.571125,-0.0097,0.0008,0.0449,0.046
13.587097,-0.0000,0.0055,0.0449,0.045
13.608703,-0.0096,0.0008,0.0497,0.051
13.628683,-0.0046,0.0057,0.0305,0.031
13.648804,-0.0142,-0.0135,0.0305,0.036
13.665752,-0.0092,-0.0088,0.0497,0.051
13.686568,-0.0046,0.0152,0.0209,0.026
13.706015,0.0002,0.0055,0.0209,0.022
13.725299,-0.0091,0.0009,0.0497,0.051
13.745772,-0.0189,-0.0088,0.0305,0.037
13.764628,0.0003,-0.0086,0.0305,0.032
13.784572,0.0005,0.0203,0.0305,0.037
13.810516,-0.0045,0.0059,0.0353,0.036
13.835399,-0.0001,-0.0037,0.0497,0.050
13.844649,-0.0100,0.0104,0.0593,0.061
13.864446,-0.0102,0.0150,0.0593,0.062
13.882633,-0.0054,0.0101,0.0353,0.037
13.903273,-0.0246,-0.0042,0.0353,0.043
13.922412,-0.0148,-0.0090,0.0209,0.027
13.943284,-0.0054,0.0101,0.0161,0.020
13.962088,-0.0198,0.0054,0.0449,0.049
13.982811,-0.0147,-0.0040,0.0497,0.052
14.002228,-0.0100,-0.0042,0.0353,0.037
14.021531,-0.0098,0.0101,0.0401,0.042
14.040976,-0.0098,-0.0041,0.0209,0.023
14.060621,-0.0099,-0.0089,0.0353,0.038
14.080240,-0.0098,0.0151,0.0401,0.044
14.100561,-0.0098,0.0103,0.0401,0.043
14.120401,-0.0051,0.0053,0.0257,0.027
14.140518,-0.0146,-0.0089,0.0161,0.023
14.160699,-0.0143,0.0055,0.0449,0.047
14.180272,-0.0191,0.0008,0.0161,0.025
14.199941,-0.0143,-0.0039,0.0257,0.030
14.219304,-0.0093,-0.0136,0.0353,0.039
14.239917,-0.0092,-0.0038,0.0353,0.037
14.259327,0.0004,0.0105,0.0353,0.037
14.279255,-0.0187,-0.0133,0.0209,0.031
14.299150,-0.0042,-0.0085,0.0257,0.027
14.318474,-0.0041,-0.0183,0.0401,0.044
14.341727,0.0010,0.0009,0.0353,0.035
14.360955,-0.0036,-0.0038,0.0305,0.031
14.378091,-0.0224,-0.0036,0.0209,0.031
14.398256,0.0014,-0.0035,0.0545,0.055
14.418347,-0.0036,0.0061,0.0353,0.036
14.438023,0.0109,0.0060,0.0497,0.051
14.459804,0.0012,-0.0179,0.0257,0.031
14.476910,0.0014,-0.0130,0.0353,0.038
14.498907,-0.0129,0.0011,0.0161,0.021
14.517077,-0.0080,-0.0181,0.0353,0.040
14.538751,-0.0080,0.0107,0.0497,0.051
14.556233,-0.0173,-0.0084,0.0353,0.040
14.578864,-0.0030,0.0012,0.0545,0.055
14.595890,-0.0173,0.0061,0.0545,0.057
14.617754,-0.0077,0.0060,0.0449,0.046
14.641212,0.0017,0.0109,0.0401,0.042
14.657595,-0.0032,-0.0035,0.0257,0.026
14.679219,-0.0126,0.0012,0.0353,0.037
14.698021,0.0017,0.0057,0.0401,0.041
14.715285,-0.0030,-0.0088,0.0544,0.055
14.736797,-0.0126,-0.0135,0.0305,0.036
14.755324,-0.0126,0.0058,0.0305,0.033
14.776300,-0.0124,0.0060,0.0497,0.052
14.794695,-0.0123,-0.0086,0.0305,0.034
14.816408,-0.0075,-0.0039,0.0353,0.036
14.833621,0.0019,0.0057,0.0401,0.041
14.858572,-0.0027,0.0104,0.0497,0.051
14.875239,0.0119,-0.0039,0.0353,0.037
14.896854,0.0164,-0.0136,0.0305,0.037
14.913646,-0.0075,-0.0041,0.0353,0.036
14.935339,-0.0121,-0.0089,0.0401,0.043
14.953935,-0.0029,0.0005,0.0401,0.040
14.972705,0.0016,0.0053,0.0449,0.045
14.995332,0.0014,0.0052,0.0257,0.026
15.013089,-0.0081,-0.0043,0.0353,0.036
15.036388,-0.0034,0.0003,0.0401,0.040
15.056733,-0.0132,-0.0044,0.0305,0.033
15.073469,-0.0084,0.0005,0.0305,0.032
15.094112,0.0014,-0.0043,0.0257,0.026
15.113435,-0.0033,-0.0234,0.0353,0.042
15.134363,-0.0031,-0.0089,0.0688,0.069
15.152939,-0.0030,-0.0042,0.0449,0.045
15.173514,-0.0079,0.0150,0.0353,0.039
15.191112,-0.0078,0.0054,0.0544,0.055
15.213106,0.0015,-0.0091,0.0592,0.060
15.230397,0.0065,-0.0091,0.0401,0.042
15.252036,0.0017,0.0101,0.0497,0.051
15.269389,-0.0166,-0.0141,0.0401,0.046
15.291282,-0.0074,-0.0093,0.0449,0.046
15.308963,-0.0074,0.0004,0.0353,0.036
15.334520,-0.0029,0.0052,0.0353,0.036
15.349363,-0.0124,-0.0091,0.0353,0.038
15.374633,-0.0078,-0.0041,0.0544,0.055
15.388660,-0.0077,0.0006,0.0401,0.041
15.410416,-0.0127,-0.0137,0.0592,0.062
15.428595,0.0016,0.0007,0.0305,0.031
15.452857,0.0020,0.0053,0.0353,0.036
15.469133,-0.0167,-0.0090,0.0257,0.032
15.491984,-0.0078,-0.0185,0.0209,0.029
15.509650,-0.0182,0.0005,0.0401,0.044
15.532610,0.0060,0.0054,0.0449,0.046
15.548081,-0.0080,-0.0187,0.0401,0.045
15.571752,-0.0033,-0.0138,0.0449,0.047
15.588388,-0.0033,0.0008,0.0449,0.045
15.610252,0.0013,-0.0088,0.0257,0.027
15.628818,-0.0176,-0.0088,0.0401,0.045
15.648652,-0.0128,-0.0087,0.0353,0.039
15.672921,-0.0031,-0.0087,0.0592,0.060
15.698259,-0.0177,-0.0038,0.0592,0.062
15.705867,0.0014,0.0010,0.0353,0.035
15.728273,0.0061,0.0010,0.0449,0.045
15.748708,0.0014,0.0010,0.0449,0.045
15.768623,-0.0031,0.0011,0.0449,0.045
15.786564,-0.0076,0.0109,0.0305,0.033
15.809084,-0.0220,-0.0130,0.0497,0.056
15.829781,-0.0080,-0.0080,0.0401,0.042
15.846139,-0.0034,-0.0033,0.0305,0.031
15.866204,-0.0127,-0.0031,0.0592,0.061
15.883593,-0.0081,-0.0126,0.0353,0.038
15.904298,-0.0078,-0.0079,0.0401,0.042
15.926451,-0.0033,0.0017,0.0544,0.055
15.947938,0.0159,0.0016,0.0305,0.034
15.965665,-0.0130,-0.0080,0.0257,0.030
15.986583,-0.0180,-0.0080,0.0401,0.045
16.006366,-0.0083,-0.0031,0.0592,0.060
16.026137,-0.0083,0.0065,0.0545,0.055
16.043794,-0.0178,0.0067,0.0497,0.053
16.062514,-0.0128,0.0210,0.0353,0.043
16.082011,0.0016,-0.0077,0.0497,0.050
16.101533,-0.0032,0.0068,0.0353,0.036
16.121641,0.0061,-0.0027,0.0209,0.022
16.141773,-0.0182,-0.0029,0.0305,0.036
16.161429,-0.0086,-0.0030,0.0449,0.046
16.181517,-0.0038,-0.0028,0.0353,0.036
16.201051,-0.0182,0.0067,0.0257,0.032
16.223915,-0.0034,0.0066,0.0497,0.050
16.240591,-0.0177,0.0067,0.0305,0.036
16.260250,-0.0176,0.0017,0.0305,0.035
16.280205,-0.0039,0.0114,0.0545,0.056
16.300439,-0.0036,-0.0032,0.0353,0.036
16.319962,-0.0086,-0.0031,0.0592,0.060
16.339858,-0.0037,-0.0077,0.0545,0.055
16.359469,0.0059,0.0065,0.0305,0.032
16.379592,0.0011,-0.0029,0.0161,0.016
16.399491,0.0059,-0.0123,0.0353,0.038
16.418451,0.0009,0.0021,0.0401,0.040
16.439194,-0.0041,0.0069,0.0401,0.041
16.459598,-0.0038,-0.0026,0.0257,0.026
16.479482,-0.0133,-0.0025,0.0353,0.038
16.498425,-0.0037,-0.0073,0.0257,0.027
16.518253,-0.0017,-0.0071,0.0161,0.018
16.540416,0.0028,0.0026,0.0497,0.050
16.557593,-0.0021,0.0027,0.0545,0.055
16.579586,-0.0069,-0.0070,0.0545,0.055
16.602410,-0.0164,-0.0067,0.0401,0.044
16.617626,-0.0117,-0.0113,0.0209,0.027
16.637604,0.0025,-0.0064,0.0257,0.027
16.660008,0.0074,0.0081,0.0305,0.032
16.676561,-0.0022,0.0034,0.0209,0.021
16.698735,-0.0164,-0.0014,0.0305,0.035
16.715928,-0.0021,-0.0061,0.0161,0.017
16.737250,-0.0022,-0.0013,0.0545,0.055
16.758604,0.0027,0.0035,0.0545,0.055
16.776739,-0.0067,0.0081,0.0305,0.032
16.798066,-0.0163,0.0128,0.0401,0.045
16.816153,-0.0065,0.0032,0.0257,0.027
16.835842,-0.0067,0.0132,0.0449,0.047
16.856056,-0.0159,0.0180,0.0401,0.047
16.875116,-0.0014,-0.0059,0.0401,0.041
16.896595,-0.0016,0.0036,0.0449,0.045
16.914223,-0.0017,-0.0060,0.0353,0.036
16.941614,-0.0063,-0.0109,0.0353,0.037
16.968261,-0.0156,-0.0110,0.0161,0.025
16.976027,0.0083,-0.0109,0.0305,0.033
16.994297,-0.0013,-0.0061,0.0401,0.041
17.013603,-0.0111,-0.0109,0.0449,0.048
17.034939,0.0033,-0.0107,0.0497,0.051
17.054209,0.0031,-0.0107,0.0641,0.065
17.076050,0.0078,-0.0011,0.0353,0.036
17.097351,-0.0063,0.0228,0.0257,0.035
17.114993,0.0081,-0.0011,0.0305,0.032
17.134769,-0.0064,-0.0059,0.0257,0.027
17.153708,-0.0109,0.0087,0.0401,0.042
17.175126,-0.0107,0.0086,0.0449,0.047
17.193983,-0.0107,0.0183,0.0401,0.045
17.216376,-0.0060,-0.0011,0.0305,0.031
17.234512,-0.0111,-0.0059,0.0305,0.033
17.251742,-0.0013,-0.0011,0.0449,0.045
17.272618,0.0035,0.0039,0.0305,0.031
17.293988,-0.0014,-0.0056,0.0257,0.026
17.311090,-0.0017,0.0039,0.0353,0.036
17.336099,-0.0159,0.0037,0.0449,0.048
17.350324,0.0034,0.0084,0.0353,0.036
17.375208,0.0082,0.0130,0.0305,0.034
17.389583,-0.0015,-0.0060,0.0353,0.036
17.415307,-0.0064,-0.0203,0.0449,0.050
17.429490,0.0031,-0.0202,0.0257,0.033
17.452755,0.0032,-0.0059,0.0305,0.031
17.475302,-0.0065,0.0135,0.0305,0.034
17.492367,0.0029,-0.0055,0.0449,0.045
17.508670,0.0018,0.0086,0.0401,0.041
17.532051,-0.0030,0.0037,0.0401,0.040
17.548196,-0.0038,0.0229,0.0449,0.051
17.573449,-0.0038,0.0085,0.0401,0.041
17.588381,-0.0037,0.0036,0.0401,0.040
17.609721,-0.0085,0.0133,0.0497,0.052
17.628104,-0.0133,0.0036,0.0688,0.070
17.649168,0.0010,0.0132,0.0497,0.051
17.667907,-0.0037,-0.0062,0.0497,0.050
17.688770,-0.0038,0.0180,0.0401,0.044
17.708794,-0.0087,0.0180,0.0305,0.036
17.732640,-0.0137,0.0132,0.0545,0.058
17.755328,-0.0091,0.0034,0.0401,0.041
17.769194,-0.0092,0.0079,0.0449,0.046
17.786337,-0.0091,0.0032,0.0497,0.051
17.806666,-0.0091,0.0080,0.0353,0.037
17.826412,0.0006,0.0032,0.0353,0.035
17.846472,0.0006,0.0128,0.0305,0.033
17.869855,-0.0045,-0.0016,0.0353,0.036
17.885397,-0.0044,-0.0063,0.0449,0.046
17.905041,-0.0090,-0.0064,0.0305,0.032
17.925044,-0.0093,0.0029,0.0449,0.046
17.944375,0.0003,0.0029,0.0497,0.050
17.965058,-0.0046,0.0028,0.0545,0.055
17.984845,-0.0189,-0.0021,0.0305,0.036
18.005714,0.0052,-0.0118,0.0401,0.042
18.024912,0.0005,0.0167,0.0449,0.048
18.044908,-0.0185,-0.0024,0.0257,0.032
18.065560,-0.0095,-0.0025,0.0640,0.065
18.084605,-0.0189,-0.0076,0.0640,0.067
18.104380,-0.0143,-0.0075,0.0305,0.035
18.124636,-0.0048,0.0115,0.0449,0.047
18.144109,-0.0048,0.0018,0.0353,0.036
18.164810,-0.0049,0.0016,0.0305,0.031
18.185172,-0.0095,0.0063,0.0257,0.028
18.202345,-0.0189,-0.0081,0.0353,0.041
18.222982,-0.0046,-0.0081,0.0497,0.051
18.242226,-0.0093,-0.0031,0.0305,0.032
18.263213,-0.0139,-0.0074,0.0305,0.034
18.288081,-0.0044,-0.0119,0.0257,0.029
18.301865,0.0053,-0.0029,0.0401,0.041
18.321121,0.0006,0.0019,0.0449,0.045
18.341609,0.0101,0.0068,0.0449,0.046
18.361381,-0.0092,-0.0029,0.0545,0.055
18.381113,-0.0042,-0.0118,0.0401,0.042
18.400074,-0.0044,0.0018,0.0353,0.036
18.420952,-0.0140,0.0066,0.0305,0.034
18.439730,-0.0044,0.0018,0.0497,0.050
18.459986,0.0004,0.0017,0.0592,0.059
18.479767,0.0051,0.0064,0.0592,0.060
18.499907,-0.0046,-0.0267,0.0449,0.052
18.519742,-0.0080,-0.0082,0.0305,0.033
18.539563,-0.0030,0.0061,0.0497,0.050
18.559465,0.0063,0.0012,0.0209,0.022
18.579045,-0.0128,-0.0086,0.0209,0.026
18.599023,-0.0080,0.0057,0.0353,0.037
18.620948,0.0013,-0.0040,0.0544,0.055
18.638203,0.0062,0.0008,0.0449,0.045
18.660418,0.0065,0.0008,0.0257,0.027
18.683489,-0.0078,0.0008,0.0209,0.022
18.698108,-0.0077,0.0053,0.0113,0.015
18.717930,-0.0125,0.0000,0.0257,0.029
18.737834,-0.0078,0.0002,0.0353,0.036
18.758388,-0.0075,-0.0046,0.0448,0.046
18.777233,-0.0218,0.0049,0.0400,0.046
18.797040,-0.0028,-0.0095,0.0448,0.046
18.818380,-0.0076,0.0048,0.0353,0.036
18.839701,0.0018,-0.0097,0.0496,0.051
18.856782,0.0020,-0.0048,0.0640,0.064
18.876144,-0.0030,-0.0099,0.0592,0.060
18.897866,0.0116,-0.0006,0.0352,0.037
18.915165,-0.0074,-0.0005,0.0448,0.045
18.939247,-0.0122,-0.0052,0.0352,0.038
18.955827,-0.0026,-0.0054,0.0257,0.026
18.976544,-0.0026,0.0042,0.0305,0.031
18.994683,-0.0216,0.0041,0.0305,0.038
19.015590,0.0020,-0.0005,0.0209,0.021
19.035078,0.0118,-0.0052,0.0496,0.051
19.055393,-0.0025,-0.0101,0.0352,0.037
19.075455,-0.0025,0.0139,0.0544,0.056
19.094415,0.0023,0.0090,0.0352,0.036
19.115028,-0.0070,-0.0006,0.0496,0.050
19.138218,0.0072,0.0089,0.0257,0.028
19.155281,-0.0166,-0.0054,0.0161,0.024
19.173583,-0.0165,-0.0151,0.0448,0.050
19.199524,-0.0166,-0.0105,0.0496,0.053
19.228191,-0.0021,-0.0249,0.0448,0.051
19.234205,-0.0116,-0.0057,0.0544,0.056
19.255288,-0.0118,-0.0057,0.0496,0.051
19.275310,-0.0024,-0.0059,0.0257,0.026
19.292510,0.0023,0.0036,0.0352,0.035
19.315045,0.0023,0.0036,0.0544,0.055
19.336679,-0.0023,-0.0058,0.0161,0.017
19.355293,0.0070,-0.0058,0.0496,0.050
19.374850,0.0019,-0.0011,0.0352,0.035
19.392889,-0.0075,-0.0109,0.0257,0.029
19.414032,-0.0031,-0.0158,0.0257,0.030
19.433140,-0.0077,-0.0157,0.0448,0.048
19.456661,-0.0122,0.0084,0.0257,0.030
19.470621,-0.0123,-0.0061,0.0209,0.025
19.494486,-0.0119,-0.0108,0.0640,0.066
19.510426,-0.0042,-0.0101,0.0496,0.051
19.535601,-0.0139,-0.0101,0.0400,0.044
19.550193,-0.0234,0.0038,0.0400,0.047
19.577871,-0.0045,0.0039,0.0257,0.026
19.589654,-0.0043,-0.0003,0.0496,0.050
19.611720,-0.0044,-0.0002,0.0352,0.036
19.629321,-0.0233,-0.0001,0.0352,0.042
19.652633,-0.0089,-0.0096,0.0400,0.042
19.668368,0.0054,-0.0145,0.0257,0.030
19.693490,-0.0137,-0.0098,0.0352,0.039
19.708363,-0.0087,-0.0049,0.0400,0.041
19.733882,-0.0087,0.0001,0.0496,0.050
19.752390,0.0049,-0.0095,0.0352,0.037
19.770536,0.0045,-0.0048,0.0257,0.026
19.788583,-0.0051,-0.0001,0.0496,0.050
19.810153,-0.0099,-0.0048,0.0496,0.051
19.828058,-0.0099,0.0047,0.0496,0.051
19.850001,-0.0148,0.0095,0.0209,0.027
19.867508,-0.0003,0.0048,0.0209,0.021
19.886921,0.0042,0.0049,0.0257,0.026
19.905993,-0.0148,0.0049,0.0496,0.052
19.928750,-0.0050,0.0003,0.0257,0.026
19.946657,-0.0144,0.0003,0.0305,0.034
19.968253,-0.0047,0.0051,0.0257,0.027
19.986373,-0.0141,-0.0044,0.0496,0.052
20.008235,-0.0141,-0.0094,0.0496,0.052
20.026790,-0.0091,0.0003,0.0352,0.036
20.049409,-0.0090,0.0146,0.0400,0.044
20.069082,-0.0044,0.0048,0.0113,0.013
20.085941,-0.0043,0.0048,0.0161,0.017
20.109982,-0.0047,0.0098,0.0352,0.037
20.141978,0.0002,0.0051,0.0257,0.026
20.145110,-0.0046,0.0004,0.0544,0.055
20.166954,-0.0004,0.0004,0.0448,0.045
20.185993,-0.0099,0.0003,0.0257,0.027
20.205963,-0.0003,0.0004,0.0400,0.040
20.226030,-0.0048,0.0004,0.0496,0.050
20.245624,-0.0240,-0.0090,0.0448,0.052
20.265923,-0.0191,-0.0041,0.0209,0.029
20.284702,-0.0049,0.0151,0.0305,0.034
20.305997,-0.0050,0.0009,0.0448,0.045
20.322379,0.0046,-0.0085,0.0544,0.055
20.342894,-0.0050,0.0107,0.0209,0.024
20.362390,-0.0099,0.0061,0.0209,0.024
20.382899,-0.0050,0.0013,0.0401,0.040
20.402024,-0.0097,0.0060,0.0496,0.051
20.422996,-0.0097,0.0156,0.0305,0.036
20.442660,-0.0047,0.0010,0.0496,0.050
20.461859,0.0004,-0.0039,0.0544,0.055
20.481335,-0.0090,-0.0086,0.0544,0.056
20.502275,-0.0042,0.0010,0.0400,0.040
20.520617,-0.0065,0.0053,0.0496,0.050
20.545570,-0.0017,-0.0043,0.0496,0.050
20.560093,0.0080,-0.0045,0.0305,0.032
20.579842,-0.0016,0.0051,0.0257,0.026
20.601095,0.0080,0.0051,0.0352,0.037
20.620007,-0.0017,-0.0047,0.0448,0.045
20.640950,0.0030,-0.0094,0.0640,0.065
20.659223,-0.0068,-0.0092,0.0448,0.046
20.679078,0.0028,-0.0043,0.0209,0.022
20.699493,0.0124,-0.0089,0.0257,0.030
20.721833,0.0074,-0.0183,0.0257,0.032
20.739336,-0.0022,-0.0039,0.0305,0.031
20.758381,0.0025,0.0056,0.0496,0.050
20.780519,-0.0068,0.0102,0.0209,0.024
20.798154,0.0076,0.0054,0.0305,0.032
20.832162,0.0076,0.0102,0.0496,0.051
20.837585,-0.0108,-0.0090,0.0592,0.061
20.859084,-0.0013,0.0101,0.0305,0.032
20.877226,0.0082,-0.0041,0.0353,0.036
20.898382,0.0035,0.0007,0.0496,0.050
20.916613,-0.0013,-0.0089,0.0353,0.036
20.937390,0.0129,-0.0042,0.0209,0.025
20.956164,-0.0064,0.0052,0.0496,0.050
20.977438,0.0032,-0.0092,0.0448,0.046
20.999227,0.0080,-0.0091,0.0209,0.024
21.018488,0.0032,-0.0141,0.0400,0.043
21.035895,-0.0064,0.0002,0.0496,0.050
21.056351,0.0032,0.0049,0.0496,0.050
21.075864,0.0029,0.0000,0.0496,0.050
21.097983,-0.0066,0.0048,0.0209,0.022
21.123618,-0.0068,-0.0144,0.0352,0.039
21.136515,0.0076,-0.0001,0.0400,0.041
21.154765,-0.0018,0.0048,0.0496,0.050
21.175023,-0.0162,0.0047,0.0257,0.031
21.195291,-0.0017,-0.0002,0.0305,0.031
21.214454,0.0078,0.0046,0.0305,0.032
21.234497,-0.0115,-0.0099,0.0352,0.038
21.258832,-0.0070,-0.0053,0.0305,0.032
21.274505,-0.0067,-0.0197,0.0448,0.049
21.296364,0.0030,-0.0052,0.0400,0.040
21.315537,-0.0065,-0.0001,0.0400,0.041
21.336347,-0.0111,-0.0049,0.0592,0.060
21.354931,0.0036,-0.0002,0.0113,0.012
21.375010,-0.0105,-0.0245,0.0352,0.044
21.402607,0.0087,0.0137,0.0496,0.052
21.415044,0.0088,-0.0102,0.0640,0.065
21.434948,0.0091,-0.0244,0.0448,0.052
21.453220,0.0044,-0.0149,0.0400,0.043
21.474378,-0.0097,0.0089,0.0448,0.047
21.492762,-0.0002,-0.0150,0.0496,0.052
21.512625,-0.0072,-0.0191,0.0400,0.045
21.533017,-0.0166,0.0002,0.0496,0.052
21.550719,-0.0164,0.0003,0.0304,0.035
