1,1655961811299,0.187,-0.144,9.806,acc
2,1655961811318,0.182,-0.14,9.811,acc
3,1655961811338,0.182,-0.116,9.797,acc
4,1655961811358,0.172,-0.14,9.806,acc
5,1655961811378,0.177,-0.144,9.806,acc
6,1655961811398,0.168,-0.125,9.797,acc
7,1655961811418,0.172,-0.135,9.783,acc
8,1655961811438,0.172,-0.14,9.773,acc
9,1655961811458,0.172,-0.144,9.811,acc
10,1655961811477,0.182,-0.135,9.811,acc
11,1655961811497,0.192,-0.14,9.778,acc
12,1655961811517,0.192,-0.14,9.797,acc
13,1655961811538,0.177,-0.149,9.797,acc
14,1655961811557,0.158,-0.149,9.783,acc
15,1655961811576,0.172,-0.125,9.783,acc
16,1655961811596,0.206,-0.14,9.797,acc
17,1655961811616,0.182,-0.135,9.811,acc
18,1655961811636,0.177,-0.12,9.806,acc
19,1655961811655,0.182,-0.14,9.792,acc
20,1655961811676,0.182,-0.14,9.811,acc
21,1655961811695,0.172,-0.125,9.806,acc
22,1655961811715,0.177,-0.13,9.797,acc
23,1655961811735,0.168,-0.144,9.816,acc
24,1655961811755,0.168,-0.149,9.816,acc
25,1655961811775,0.187,-0.14,9.821,acc
26,1655961811794,0.168,-0.13,9.792,acc
27,1655961811814,0.172,-0.144,9.792,acc
28,1655961811834,0.187,-0.149,9.797,acc
29,1655961811854,0.163,-0.14,9.797,acc
30,1655961811873,0.177,-0.14,9.792,acc
31,1655961811894,0.182,-0.149,9.806,acc
32,1655961811914,0.172,-0.154,9.806,acc
33,1655961811934,0.172,-0.12,9.802,acc
34,1655961811954,0.172,-0.13,9.821,acc
35,1655961811974,0.177,-0.13,9.792,acc
36,1655961811994,0.182,-0.14,9.806,acc
37,1655961812014,0.192,-0.14,9.816,acc
38,1655961812033,0.172,-0.14,9.792,acc
39,1655961812054,0.168,-0.144,9.816,acc
40,1655961812074,0.172,-0.14,9.811,acc
41,1655961812093,0.177,-0.12,9.797,acc
42,1655961812111,0.172,-0.135,9.797,acc
43,1655961812132,0.163,-0.154,9.792,acc
44,1655961812152,0.168,-0.135,9.792,acc
45,1655961812173,0.177,-0.125,9.797,acc
46,1655961812192,0.177,-0.144,9.811,acc
