Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.002571916673332,0.008382568359375,0.123193817138672,9.78066101074219,9.78144042516673
0.012608916673344,0.013921051025391,0.101788330078125,9.79054046630859,9.7910794748193
0.022645916673355,0.003891906738281,0.082927551269531,9.78425354003906,9.78460573868281
0.032681916665752,0.001347198486328,0.065713348388672,9.78649887084961,9.7867195836113
0.042718916665763,0.006586303710938,0.058378601074219,9.78739700317383,9.78757332223856
0.052755916665774,-0.003442840576172,0.058079223632813,9.77781692504883,9.77799002193909
0.062792916665785,-0.005688171386719,0.065114593505859,9.78904357910156,9.78926179336985
0.072829916665796,-0.009879455566406,0.07903564453125,9.78380447387695,9.78412868986316
0.082866916665807,-0.000149688720703,0.088316345214844,9.79817459106445,9.79857260605951
0.092903916665819,-0.002993774414063,0.103584594726563,9.79428268432617,9.79483088324864
0.10294091666583,-0.002095642089844,0.115859069824219,9.78649887084961,9.78718487946953
0.112977916665841,0.000748443603516,0.116757202148438,9.79308517456055,9.79378119219635
0.123014916665852,0.008981323242188,0.119301910400391,9.78500198364258,9.78573336188359
0.133051916665863,0.019309844970703,0.105081481933594,9.78904357910156,9.78962661093403
0.143088916665874,0.017214202880859,0.104632415771484,9.77961318969727,9.78018805602999
0.153125916665886,0.024698638916016,0.094004516601563,9.78694793701172,9.78743055115508
0.163161916672834,0.018411712646484,0.086520080566406,9.78934295654297,9.78974260316997
0.173198916672845,0.004640350341797,0.083975372314453,9.78754669189453,9.78790803195567
0.183235916672857,-0.012873229980469,0.076341247558594,9.78904357910156,9.78934971791684
0.193272916672868,-0.012573852539063,0.078436889648438,9.78335540771484,9.78367791176144
0.203309916672879,-0.012573852539063,0.07903564453125,9.79622863769531,9.79655553022979
0.21334691667289,-0.015268249511719,0.087567901611328,9.78664855957031,9.78705222655808
0.223383916672901,-0.013471984863281,0.098046112060547,9.78096038818359,9.78146106927196
0.233420916672912,0.005089416503906,0.098644866943359,9.79248641967773,9.7929845803773
0.243457916672924,0.00239501953125,0.098046112060547,9.79009140014649,9.79058263840467
0.253494666671031,0.008083190917969,0.10777587890625,9.78979202270508,9.79038859422186
0.263531666671042,0.023800506591797,0.102836151123047,9.77587097167969,9.77644081417268
0.273568666671053,0.0143701171875,0.106877746582031,9.78096038818359,9.7815548594382
0.283605666671065,0.01916015625,0.097297668457031,9.78560073852539,9.78610319594594
0.293642666671076,0.016316070556641,0.101339263916016,9.77602066040039,9.77655950798361
0.303679666671087,0.000299377441406,0.097447357177734,9.79039077758789,9.79087573483219
0.313715666663484,-0.011825408935547,0.083526306152344,9.78709762573242,9.78746118356202
0.323752666663495,-0.011376342773438,0.085322570800781,9.78799575805664,9.78837424304965
0.333789666663506,-0.01197509765625,0.082478485107422,9.78754669189453,9.78790152941299
0.343826666663517,-0.014968872070313,0.077688446044922,9.78784606933594,9.78816582607768
0.353863666663528,-0.010927276611328,0.088016967773438,9.78410385131836,9.7845058416546
0.36390066666354,0.003592529296875,0.092956695556641,9.78275665283203,9.78319894421272
0.373937666663551,0.006885681152344,0.095351715087891,9.78754669189453,9.78801356804284
0.383974666663562,0.017214202880859,0.099243621826172,9.79308517456055,9.79360316030069
0.394011666663573,0.024548950195313,0.107326812744141,9.78829513549805,9.78891430932482
0.404048666663584,0.020207977294922,0.101488952636719,9.7906901550293,9.79123700467113
0.414085666663596,0.015417938232422,0.099992065429688,9.78515167236328,9.78567470219209
0.424122666663607,0.0047900390625,0.099692687988281,9.79248641967773,9.79299504013381
0.434159666663618,0.004340972900391,0.100890197753906,9.78425354003906,9.78477465309322
0.444195666670566,0.002844085693359,0.100740509033203,9.79338455200195,9.79390308928847
0.454232666670578,-0.010029144287109,0.091609497070313,9.7857504272461,9.78618435898465
0.464269666670589,-0.006885681152344,0.083975372314453,9.78365478515625,9.78401759150458
0.4743066666706,-0.010927276611328,0.082328796386719,9.78275665283203,9.78310917677085
0.484343666670611,-0.005239105224609,0.082478485107422,9.77212875366211,9.77247821828624
0.494380666670622,0.002694396972656,0.085023193359375,9.79143859863281,9.79180810851503
0.504417666670634,0.000299377441406,0.093256072998047,9.78515167236328,9.78559604908826
0.514454666670645,0.017962646484375,0.095351715087891,9.78979202270508,9.79027284880554
0.524491666670656,0.014819183349609,0.094453582763672,9.77826599121094,9.77873339867513
0.534528666670667,0.004939727783203,0.110320587158203,9.78934295654297,9.78996580962768
0.544565666670678,0.012124786376953,0.114661560058594,9.78784606933594,9.78852516780821
0.554602666670689,0.004340972900391,0.105680236816406,9.79009140014649,9.79066273444865
0.564639666670701,-0.005837860107422,0.105979614257813,9.79473175048828,9.79530682639764
0.574676666670712,-0.007634124755859,0.100890197753906,9.78799575805664,9.78851868627723
0.584712666663108,-0.004041595458984,0.096698913574219,9.78530136108398,9.7857799761497
0.59474966666312,0.0047900390625,0.090262298583984,9.79398330688477,9.79440040240123
0.604786666663131,-0.010328521728516,0.080831909179688,9.78066101074219,9.78100047454018
0.614823666663142,-0.006885681152344,0.078885955810547,9.77841567993164,9.77873629955129
0.624860666663153,0,0.078436889648438,9.78455291748047,9.78486730316939
0.634897666663164,0.011376342773438,0.087567901611328,9.79188766479492,9.79228582091691
0.644934666663175,0.014968872070313,0.09340576171875,9.78679824829102,9.78725541999418
0.654971666663187,0.011526031494141,0.098644866943359,9.79024108886719,9.79074482546245
0.665008666663198,0.010627899169922,0.102536773681641,9.78814544677734,9.78868826909233
0.675045666663209,0.000149688720703,0.113164672851563,9.77452377319336,9.77517883510632
